"drug","library","arm","drug_regulation","Term","Overlap","P.value","Adjusted.P.value","Combined.Score","Genes"
"ursodiol","DSigDB","UP","assoc","ursodiol CTD 00006973","3/138",0.0855164184931507,0.785849644101707,7.32881473650647,"FGF19;SLCO1B3;C4BPA"
"methylergonovine","DSigDB","UP","assoc","methylergonovine CTD 00006315","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"HTR2C"
"lisuride","DSigDB","UP","assoc","LISURIDE CTD 00006219","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"HTR2C"
"aminolevulinic","DSigDB","UP","assoc","Aminolevulinic acid CTD 00005375","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"MMP3"
"sulfobromophthalein","DSigDB","UP","assoc","Sulfobromophthalein CTD 00006810","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"SLCO1B3"
"180083-23-2","DSigDB","UP","assoc","180083-23-2 TTD 00000398","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"HTR2C"
"l-162,313","DSigDB","UP","assoc","L-162,313 TTD 00008844","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"NPSR1"
"methylergonovine","DSigDB","UP","assoc","methylergonovine TTD 00009260","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"HTR2C"
"ru-24969","DSigDB","UP","assoc","RU-24969 TTD 00010707","1/12",0.0864012549894364,0.785849644101707,29.6405200202505,"HTR2C"
"luteolin","DSigDB","UP","assoc","luteolin PC3 DOWN","2/66",0.0878580031056413,0.785849644101707,10.1605177862586,"GAGE2E;SSX1"
"etilamide","DSigDB","UP","assoc","Etilamide CTD 00005541","1/13",0.0932573471587156,0.785849644101707,26.3218798092121,"MUC16"
"sertindole","DSigDB","UP","assoc","SERTINDOLE CTD 00002659","1/13",0.0932573471587156,0.785849644101707,26.3218798092121,"HTR2C"
"2,2'-bipyridine","DSigDB","UP","assoc","2,2'-BIPYRIDINE CTD 00007027","1/13",0.0932573471587156,0.785849644101707,26.3218798092121,"IGFBP1"
"sertindole","DSigDB","UP","assoc","SERTINDOLE TTD 00010935","1/13",0.0932573471587156,0.785849644101707,26.3218798092121,"HTR2C"
"pd","DSigDB","UP","assoc","PD 169316 TTD 00010067","1/13",0.0932573471587156,0.785849644101707,26.3218798092121,"NPSR1"
"clotrimazole","DSigDB","UP","assoc","clotrimazole CTD 00005691","2/70",0.0970555320894668,0.785849644101707,9.16950724987013,"IGFBP1;NPSR1"
"cinnarizine","DSigDB","UP","assoc","cinnarizine CTD 00005673","1/14",0.100062328683337,0.785849644101707,23.574610325458,"NPSR1"
"perfluoroundecanoic","DSigDB","UP","assoc","Perfluoroundecanoic acid CTD 00003373","1/14",0.100062328683337,0.785849644101707,23.574610325458,"APOA2"
"oxymetazoline","DSigDB","UP","assoc","oxymetazoline CTD 00006455","1/14",0.100062328683337,0.785849644101707,23.574610325458,"HTR2C"
"cinnarizine","DSigDB","UP","assoc","cinnarizine TTD 00007193","1/14",0.100062328683337,0.785849644101707,23.574610325458,"NPSR1"
"risperidone","DSigDB","UP","assoc","risperidone TTD 00010641","1/14",0.100062328683337,0.785849644101707,23.574610325458,"HTR2C"
"sb","DSigDB","UP","assoc","SB 206553 TTD 00010834","1/14",0.100062328683337,0.785849644101707,23.574610325458,"HTR2C"
"quinacrine","DSigDB","UP","assoc","QUINACRINE DIHYDROCHLORIDE TTD 00010450","1/14",0.100062328683337,0.785849644101707,23.574610325458,"NPSR1"
"37686-84-3","DSigDB","UP","assoc","37686-84-3 CTD 00000277","1/14",0.100062328683337,0.785849644101707,23.574610325458,"HTR2C"
"cefalotin","DSigDB","UP","assoc","cefalotin HL60 UP","2/73",0.104124888813831,0.785849644101707,8.51605379287522,"GAGE2E;SSX1"
"chembl55802","DSigDB","UP","assoc","CHEMBL55802 CTD 00003118","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"MMP3"
"5-methoxytryptamine","DSigDB","UP","assoc","5-METHOXYTRYPTAMINE CTD 00006305","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"HTR2C"
"oxymetholone","DSigDB","UP","assoc","oxymetholone CTD 00006456","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"NPSR1"
"7614-21-3","DSigDB","UP","assoc","7614-21-3 CTD 00000893","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"IBSP"
"1-(3-chlorophenyl)piperazine","DSigDB","UP","assoc","1-(3-Chlorophenyl)piperazine CTD 00000782","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"HTR2C"
"quinacrine","DSigDB","UP","assoc","quinacrine CTD 00006680","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"NPSR1"
"xanomeline","DSigDB","UP","assoc","XANOMELINE TTD 00011862","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"HTR2C"
"49843-98-3","DSigDB","UP","assoc","49843-98-3 CTD 00005030","1/15",0.106816578003789,0.785849644101707,21.2684724276285,"MMP3"
"mevastatin","DSigDB","UP","assoc","Mevastatin CTD 00000642","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"NPSR1"
"mianserin","DSigDB","UP","assoc","mianserin CTD 00006332","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"HTR2C"
"nefazodone","DSigDB","UP","assoc","nefazodone CTD 00002219","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"HTR2C"
"b-octylglucoside","DSigDB","UP","assoc","B-Octylglucoside TTD 00002290","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"APOA2"
"tryptamine","DSigDB","UP","assoc","tryptamine TTD 00011590","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"HTR2C"
"chlorpromazine","DSigDB","UP","assoc","chlorpromazine TTD 00007146","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"HTR2C"
"5-methoxytryptamine","DSigDB","UP","assoc","5-METHOXYTRYPTAMINE TTD 00001154","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"HTR2C"
"ziprasidone","DSigDB","UP","assoc","Ziprasidone TTD 00011922","1/16",0.113520470751663,0.785849644101707,19.3093689437036,"HTR2C"
"mifepristone","DSigDB","UP","assoc","mifepristone BOSS","2/78",0.116204166176604,0.785849644101707,7.56786766477445,"IGFBP1;NPSR1"
"edta","DSigDB","UP","assoc","EDTA CTD 00005888","1/17",0.120174379825,0.785849644101707,17.627728951177,"MMP8"
"8-oh-dpat","DSigDB","UP","assoc","8-OH-Dpat CTD 00007178","1/17",0.120174379825,0.785849644101707,17.627728951177,"HTR2C"
"pergolide","DSigDB","UP","assoc","pergolide CTD 00006492","1/17",0.120174379825,0.785849644101707,17.627728951177,"HTR2C"
"bromocriptine","DSigDB","UP","assoc","bromocriptine TTD 00002572","1/17",0.120174379825,0.785849644101707,17.627728951177,"HTR2C"
"ziprasidone","DSigDB","UP","assoc","Ziprasidone CTD 00003186","1/18",0.126778675360575,0.785849644101707,16.1710783083339,"HTR2C"
"methysergide","DSigDB","UP","assoc","methysergide TTD 00009274","1/18",0.126778675360575,0.785849644101707,16.1710783083339,"HTR2C"
"loratadine","DSigDB","UP","assoc","loratadine TTD 00009025","1/18",0.126778675360575,0.785849644101707,16.1710783083339,"NPSR1"
