feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
C5orf34	status	Tumor	1.648201692459	0.113724892646499	855	437	1.07645329258178e-42	2.39211842795952e-41
RAD51D	status	Tumor	1.63799474314947	0.113035778712975	855	443	1.10115444407774e-42	2.43618239840209e-41
MARCKSL1	status	Tumor	1.64885284597478	0.113903766617667	855	480	1.3133035656778e-42	2.8927391314489e-41
SLC25A42	status	Tumor	-1.65538104772453	0.114463339169274	855	417	1.54143160859233e-42	3.38033247498317e-41
CHRNA1	status	Tumor	1.64707688214388	0.113896411208735	855	397	1.55811831674142e-42	3.40200505838738e-41
ARHGAP8	status	Tumor	1.64850203379461	0.11404836762505	855	437	1.68609242038225e-42	3.66541830517881e-41
TMEM100	status	Tumor	-1.64601861791657	0.114090470657602	855	408	2.31195493329007e-42	5.00423145733781e-41
LRFN4	status	Tumor	1.64835856475227	0.114298153436687	855	439	2.47177799239243e-42	5.32710774222507e-41
RAB5B	status	Tumor	-1.64614634801689	0.114232537557295	855	414	2.81198636698233e-42	6.03430550854578e-41
HOXA10	status	Tumor	1.65444604799281	0.114814376908814	855	388	2.83627685021228e-42	6.06042062011171e-41
FAM72D	status	Tumor	1.64354447721146	0.114078715925828	855	413	2.9246449518184e-42	6.22264883365618e-41
FANCB	status	Tumor	1.63489686005956	0.113691640359296	855	426	4.00359222573665e-42	8.48218691893357e-41
AKR1C1	status	Tumor	-1.64816311957087	0.114682914881738	855	422	4.42516779648197e-42	9.3357970389915e-41
ARLN	status	Tumor	-1.64230628252396	0.11428416802561	855	402	4.48231289332923e-42	9.41662372548158e-41
GCNT4	status	Tumor	-1.63190901906532	0.113567191850411	855	402	4.52563069894542e-42	9.44795444879909e-41
RNFT2	status	Tumor	1.63820219677163	0.114006559857	855	412	4.53501813542356e-42	9.44795444879909e-41
CBR1	status	Tumor	-1.62439175553643	0.113138302468427	855	403	5.20044544073954e-42	1.07893058936505e-40
KLF4	status	Tumor	-1.63993222922016	0.114253097488983	855	431	5.45216132290091e-42	1.12647961216961e-40
PLA2G7	status	Tumor	1.63428129318311	0.114011258121329	855	430	6.80603185253798e-42	1.4004180766539e-40
HASPIN	status	Tumor	1.63453361046853	0.114052850953246	855	445	7.04820680854343e-42	1.44430467388185e-40
FOXI2	status	Tumor	-1.63887419940712	0.114432983313129	855	411	7.88485162410935e-42	1.60915339267538e-40
XPO1	status	Tumor	1.63846096954132	0.114441280484575	855	437	8.32135178162047e-42	1.69133166293099e-40
YPEL5	status	Tumor	-1.63762432494345	0.114400461041082	855	398	8.53669046482705e-42	1.72807499287997e-40
PRRT4	status	Tumor	-1.6376893780657	0.114469625426054	855	380	9.37449833160923e-42	1.89001982492122e-40
PI16	status	Tumor	-1.63175709474956	0.114129955441569	855	390	1.04525129858952e-41	2.0988981899388e-40
TBC1D31	status	Tumor	1.62672322268923	0.113790533732124	855	424	1.06468401750532e-41	2.12088449702255e-40
PIGW	status	Tumor	1.63156000540883	0.114126151693418	855	434	1.06049435081e-41	2.12088449702255e-40
HOXA11	status	Tumor	1.63724006294696	0.114535963194669	855	345	1.07981959214385e-41	2.14249919076161e-40
UBE2T	status	Tumor	1.62172755968436	0.113509586951208	855	436	1.17650602562492e-41	2.32511072257889e-40
SLC5A7	status	Tumor	-1.63830557919603	0.114705303717577	855	426	1.23804597138973e-41	2.43709836887742e-40
ENPP6	status	Tumor	-1.63230553309979	0.114316858252671	855	436	1.29599871139752e-41	2.54117394391671e-40
SLC12A8	status	Tumor	1.63482264736187	0.114517274063719	855	482	1.34190736472758e-41	2.62091282173356e-40
MIR22HG	status	Tumor	-1.62202029304976	0.113631256272526	855	419	1.36307814404715e-41	2.65190300398279e-40
FAM72C	status	Tumor	1.63438478046948	0.114523838048542	855	387	1.41592249835138e-41	2.74403584951818e-40
ECRG4	status	Tumor	-1.63746685194019	0.114769299099173	855	409	1.47727279343634e-41	2.85187797960683e-40
CKAP2	status	Tumor	1.6276207100036	0.114204396944313	855	436	1.77008306943537e-41	3.40400590276032e-40
KNL1	status	Tumor	1.62497423327962	0.114094360882603	855	429	1.97431157895337e-41	3.76777018884231e-40
EPHX1	status	Tumor	-1.63462684106256	0.114770782469255	855	421	1.97058707210798e-41	3.76777018884231e-40
DEPDC1	status	Tumor	1.62232461073929	0.113989618632172	855	435	2.22005300341519e-41	4.22063308634066e-40
PGM2L1	status	Tumor	1.60768611677812	0.113047898722633	855	422	2.51864363580191e-41	4.77015840113997e-40
NCOA4	status	Tumor	-1.62910300214605	0.114570008650094	855	401	2.57754041315703e-41	4.86328379840949e-40
AKR1C2	status	Tumor	-1.62414074415596	0.114299238255491	855	402	2.88376682536628e-41	5.42061433339526e-40
ADHFE1	status	Tumor	-1.62400408516444	0.114364252162313	855	427	3.20927165933474e-41	6.0098720212261e-40
E2F1	status	Tumor	1.61674448001355	0.113897692395805	855	431	3.42210584018788e-41	6.38452582124605e-40
MT1X	status	Tumor	-1.61824512821527	0.114031502747596	855	429	3.56286831309935e-41	6.62243180873485e-40
CCNDBP1	status	Tumor	-1.61675688677181	0.1139687052257	855	418	3.78462096287823e-41	7.00855733866339e-40
ETV4	status	Tumor	1.62914554419114	0.114849953074339	855	433	3.82766064275689e-41	7.06210450693153e-40
