"gene","module_membership","gene_significance","hub_score"
"TMEM184C",0.443582332164982,NA,NA
"M6PR",0.443419481630743,NA,NA
"C12orf4",0.443174665099694,NA,NA
"C2orf49",0.442099123409437,NA,NA
"RCL1",0.441719189399521,NA,NA
"ATP6AP2",0.441468881483468,NA,NA
"IFT57",0.441451798886175,NA,NA
"TMEM168",0.441449914535291,NA,NA
"HEATR5A",0.441078246017442,NA,NA
"ATAD1",0.440428783074208,NA,NA
"MAP3K2",0.440346967936535,NA,NA
"TDRD3",0.440282614149259,NA,NA
"TOR1A",0.43908719353954,NA,NA
"GNA13",0.439042030520278,NA,NA
"ECD",0.43837488907284,NA,NA
"PSMG2",0.438033484268652,NA,NA
"RAD51C",0.437781415918428,NA,NA
"BUD13",0.436611076181307,NA,NA
"PCID2",0.436518335147797,NA,NA
"ZNF41",0.435930581540317,NA,NA
"DNAJC25",0.435520346497548,NA,NA
"DNAJB14",0.435480492558796,NA,NA
"SEPHS1",0.435410899298971,NA,NA
"MRPS33",0.435398997571227,NA,NA
"SACM1L",0.434439011331072,NA,NA
"COQ3",0.434391564153824,NA,NA
"ZMPSTE24",0.433989024757847,NA,NA
"SAR1A",0.43313611649086,NA,NA
"API5",0.432926781939816,NA,NA
"GEMIN6",0.43245813417861,NA,NA
"RSL1D1",0.432360909978841,NA,NA
"XRCC6",0.432229829059442,NA,NA
"CCNT1",0.432215151954667,NA,NA
"TAF11",0.431722017401651,NA,NA
"RFXAP",0.431707822834642,NA,NA
"FKBP3",0.431684051343256,NA,NA
"SMAD2",0.431547313638437,NA,NA
"MAGOH",0.431231799170408,NA,NA
"PUS3",0.431145056497132,NA,NA
"MFAP3",0.430971215983992,NA,NA
"TMLHE",0.430823851227968,NA,NA
"PEX1",0.430732134944528,NA,NA
"PSMC2",0.430546601701471,NA,NA
"C18orf21",0.430504922647228,NA,NA
"ZNF800",0.430493645809363,NA,NA
"SS18",0.430283279481107,NA,NA
"MED13",0.430153112301934,NA,NA
"SRPK2",0.429438924199395,NA,NA
"PDSS2",0.42911537230611,NA,NA
"ASB7",0.428995376229709,NA,NA
"RNF8",0.428442756512183,NA,NA
"SRSF7",0.428352383463554,NA,NA
"CHCHD1",0.428174629386054,NA,NA
"XIAP",0.42806227353388,NA,NA
"YME1L1",0.42795824804417,NA,NA
"WDSUB1",0.427635194034724,NA,NA
"ING3",0.427634421942554,NA,NA
"OSGEP",0.42732167654265,NA,NA
"CNOT6L",0.427091903535015,NA,NA
"ZBTB44",0.427087073042702,NA,NA
"RNMT",0.426603122695114,NA,NA
"ZCCHC17",0.426435073003405,NA,NA
"TMEM186",0.425800328828967,NA,NA
"THAP6",0.425429856252407,NA,NA
"IKZF5",0.425402869957789,NA,NA
"ALG11",0.424587951248011,NA,NA
"LYSMD3",0.423952843676705,NA,NA
"UBTD2",0.423667716083872,NA,NA
"MTRR",0.423623497434514,NA,NA
"AKAP8",0.422446813256017,NA,NA
"NT5DC1",0.422343673984748,NA,NA
"SHOC2",0.421551438801211,NA,NA
"NDUFA12",0.421513301464022,NA,NA
"IWS1",0.421467569996099,NA,NA
"EIF2B5",0.42103658419277,NA,NA
"AFG3L2",0.420675217874977,NA,NA
"MMACHC",0.420400317678278,NA,NA
"METAP2",0.420336143909799,NA,NA
"EPB41L5",0.418971106151385,NA,NA
"NECAP1",0.418899150163761,NA,NA
"NSUN3",0.418670583565529,NA,NA
"OLA1",0.418330552105987,NA,NA
"TNPO3",0.418265329623714,NA,NA
"INTS4",0.418208556980025,NA,NA
"PTS",0.417576475186981,NA,NA
"COG3",0.417078312829727,NA,NA
"IDH3A",0.416921777374852,NA,NA
"SKA2",0.416324081318545,NA,NA
"MFSD8",0.416235132537009,NA,NA
"GOLGA5",0.416066712809148,NA,NA
"DCTN6",0.415919123820629,NA,NA
"LRRCC1",0.415758377593027,NA,NA
"SYAP1",0.415260248824677,NA,NA
"BRF2",0.415118558027581,NA,NA
"IMPDH2",0.414811630146271,NA,NA
"MEAF6",0.414806007105059,NA,NA
"ARMC8",0.41471981886799,NA,NA
"LSM14A",0.414453352700602,NA,NA
"CHM",0.413616356132061,NA,NA
"PLEKHA1",0.413468995816852,NA,NA
"SPA17",0.41334173355154,NA,NA
"SLC25A17",0.413046919253544,NA,NA
"HDAC3",0.413000323085412,NA,NA
"SNRPD3",0.411907180827879,NA,NA
"RPLP0",0.411883760261773,NA,NA
"TIMM10",0.411804286578533,NA,NA
"ASCC1",0.411647226513173,NA,NA
"ARCN1",0.411300343072294,NA,NA
"ISY1",0.411010261369762,NA,NA
"BIVM",0.410623234032376,NA,NA
"IL13RA1",0.410088899386596,NA,NA
"RFK",0.41008425329227,NA,NA
"PIGX",0.409903656601083,NA,NA
"UPF3B",0.409674787255118,NA,NA
"WBP11",0.409405644949183,NA,NA
"ZNF511",0.409193489166017,NA,NA
"MKLN1",0.409130480213632,NA,NA
"HNRNPH2",0.409107076187949,NA,NA
"MTRF1",0.409059463970715,NA,NA
"UBXN8",0.409028286990622,NA,NA
"NFYC",0.408772627393341,NA,NA
"RAD23B",0.408486528563367,NA,NA
"MAN1A2",0.408213777859492,NA,NA
"TOPORS",0.40815152001406,NA,NA
"TDRD7",0.408145746936155,NA,NA
"DPCD",0.407907111143584,NA,NA
"RDH11",0.407659755256306,NA,NA
"MCPH1",0.407458427166167,NA,NA
