"gene_id","log2FoldChange","AveExpr","t","pvalue","padj","B","gene_id_clean","sig","hgnc_symbol","gene_biotype"
"ENSG00000184047.20",0.507039219869008,0.293846949489069,4.36410035596323,0.000015847402393151,0.0000628794434271076,2.43735697814466,"ENSG00000184047","NS","DIABLO","diablo IAP-binding mitochondrial protein"
"ENSG00000182912.6",2.07774572181855,0.475491216582475,4.36285157030774,0.0000159344567586197,0.0000632131630864518,2.56431752161273,"ENSG00000182912","Up",NA,NA
"ENSG00000152520.14",0.442637201562207,5.26254011703143,4.3612930904269,0.000016043741963993,0.0000636349343739216,1.89460295910382,"ENSG00000152520","NS","PAN3","poly(A) specific ribonuclease subunit PAN3"
"ENSG00000198019.13",1.38472499545718,-1.24954390792286,4.36048909108151,0.0000161004006926485,0.0000638478537822743,2.65499973494255,"ENSG00000198019","Up",NA,NA
"ENSG00000136051.15",0.369317136255629,5.79087345427369,4.36014013636761,0.0000161250514255179,0.000063926961501268,1.83163935910628,"ENSG00000136051","NS","WASHC4","WASH complex subunit 4"
"ENSG00000048828.17",0.387749724297889,8.39876411297587,4.36012232221619,0.0000161263108142246,0.000063926961501268,1.76570895798522,"ENSG00000048828","NS","FAM120A","family with sequence similarity 120 member A"
"ENSG00000142408.6",1.75705426155439,-0.362757809472054,4.35988127025813,0.0000161433614671324,0.0000639827259331218,2.60505313697926,"ENSG00000142408","Up","CACNG8","calcium voltage-gated channel auxiliary subunit gamma 8"
"ENSG00000065559.15",-0.432305344542332,4.9152098859358,-4.35949334966639,0.0000161708369805055,0.0000640797800968072,1.84264470660144,"ENSG00000065559","NS","MAP2K4","mitogen-activated protein kinase kinase 4"
"ENSG00000257531.2",1.26527209468943,-1.05697950887567,4.3573635324273,0.0000163224855657042,0.0000646687650918332,2.60712918595266,"ENSG00000257531","Up",NA,NA
"ENSG00000254815.6",1.55803726244082,-1.54636846733039,4.35347569552333,0.0000166028237339338,0.0000657672991869124,2.65369549289682,"ENSG00000254815","Up","LMNTD2-AS1","LMNTD2 antisense RNA 1"
"ENSG00000229117.9",-0.539356387774205,8.06210945911517,-4.35340972864097,0.0000166076198640273,0.0000657741487726556,1.74175459751565,"ENSG00000229117","NS","RPL41","ribosomal protein L41"
"ENSG00000258645.2",0.833177411349883,-1.23891389457914,4.3523986576783,0.0000166812958700435,0.0000660537428413871,2.57463638057998,"ENSG00000258645","NS",NA,NA
"ENSG00000198804.2",-0.583723580868718,14.5187051577516,-4.35195280406711,0.0000167138841013504,0.0000661705664459221,1.88543448505516,"ENSG00000198804","NS","COX1","cytochrome c oxidase subunit I"
