"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"KCNE2",-1.26879010726491,-0.0208258033010812,-6.26616879035855,3.70171227599715e-10,2.32918959258962e-08,"Down"
"PTTG1",1.26770807985464,-0.0236583789751665,6.26082498577676,3.83082266469714e-10,2.39872725980235e-08,"Up"
"COL6A3",1.26716278864207,-0.0236616303052779,6.25813195817647,3.89754384355825e-10,2.42753342150738e-08,"Up"
"MCM6",1.26702593909697,-0.0236605901851948,6.25745609985792,3.91446586304005e-10,2.42753342150738e-08,"Up"
"SLC27A2",1.26639249144873,-0.0236532475341376,6.2543276944101,3.99373324444805e-10,2.46484043637011e-08,"Up"
"ATP4A",-1.26593964630732,-0.0207419409918872,-6.25209122986348,4.0513589544931e-10,2.48849900733364e-08,"Down"
"NOLC1",1.26497896491517,-0.0236583702795442,6.24734671639154,4.17630838660398e-10,2.54692113467268e-08,"Up"
"ZNF207",1.26481871759964,-0.0236569796305503,6.24655530359479,4.19751354599228e-10,2.54692113467268e-08,"Up"
"HEATR1",1.2647570080097,-0.0236259727511676,6.24625053868185,4.20570743224499e-10,2.54692113467268e-08,"Up"
"SRPX2",1.26447201551996,-0.0235718606391407,6.24484304737622,4.24375213829936e-10,2.55795134728614e-08,"Up"
"ARPC1B",1.26425244658222,-0.0236466080536511,6.24375866311348,4.27329211877041e-10,2.56377651348928e-08,"Up"
"ZDHHC9",1.26380976879729,-0.0236590323214457,6.24157241205098,4.33345983662431e-10,2.58132999558612e-08,"Up"
"CHI3L1",1.26374323666077,-0.0236602782355249,6.24124383004593,4.34257391303348e-10,2.58132999558612e-08,"Up"
"NUP155",1.26350587261998,-0.0236540784658826,6.24007156117668,4.37524254219218e-10,2.58881897026316e-08,"Up"
"DCBLD1",1.26310786224113,-0.0236421620831285,6.23810590885966,4.43056019452694e-10,2.6095797237079e-08,"Up"
"ANGPT2",1.26294978690964,-0.0236209569582375,6.23732522283202,4.45271925889178e-10,2.61071026002023e-08,"Up"
"COL4A1",1.2622322722694,-0.023620603783006,6.23378163605633,4.55466810213422e-10,2.6584010791597e-08,"Up"
"DDX21",1.26190120915274,-0.0236217315416433,6.23214661592383,4.60247228230073e-10,2.67420225087375e-08,"Up"
"PAK1IP1",1.26050719060418,-0.0236615141126229,6.22526198191529,4.80919156647152e-10,2.78178305004108e-08,"Up"
"RAE1",1.2602957835689,-0.0236616406466414,6.22421790680868,4.8413222806473e-10,2.78786679009239e-08,"Up"
"CEP170",1.25948170716189,-0.0236620175957671,6.22019743080924,4.96701799094157e-10,2.84753622511801e-08,"Up"
"CDCA4",1.25660906079016,-0.0236503758450101,6.20601030329525,5.43652867829044e-10,3.10291077085258e-08,"Up"
"NCAPG2",1.25529538053167,-0.0236299897938929,6.1995224356888,5.6654120852968e-10,3.21930178362306e-08,"Up"
"IFI30",1.25508687315017,-0.0236447773087408,6.1984926810911,5.70259474334073e-10,3.22540762870452e-08,"Up"
"MCM8",1.2549553713103,-0.0236425714240907,6.19784323346365,5.72616750890252e-10,3.22540762870452e-08,"Up"
