"gene","logFC","AveExpr","t","P.Value","adj.P.Val","sig"
"ERI1",1.11573999762474,-0.0575406628349984,6.47618541983909,9.40743806144372e-11,8.75516187262357e-10,"Up"
"NOL10",1.11379233027251,-0.0521174600306771,6.46488040707982,1.0138317394047e-10,9.40144903420652e-10,"Up"
"SH2D2A",1.11279987023665,-0.0435599493088848,6.45911978612179,1.05318096615308e-10,9.73833783685203e-10,"Up"
"COL22A1",1.11200150821614,-0.0423986411854047,6.45448578493154,1.08591460237852e-10,1.00194652761663e-09,"Up"
"ARFGAP1",1.11177239189026,-0.0515983700310691,6.4531559053787,1.09549085880338e-10,1.01005979897819e-09,"Up"
"VCPIP1",1.11133530104649,-0.0534641950389991,6.45061886148353,1.1139892201481e-10,1.02564931839331e-09,"Up"
"SLC37A3",1.11087242584538,-0.0510932348120305,6.44793215523028,1.13391168407944e-10,1.04250369301074e-09,"Up"
"CHST1",1.1103520177278,-0.047497807877906,6.44491150573257,1.15672642895828e-10,1.06121011430532e-09,"Up"
"FANCL",1.11023804892582,-0.0515429601357425,6.44424998683452,1.16178240247258e-10,1.06509105966552e-09,"Up"
"SEH1L",1.11003629999372,-0.0585876514399234,6.44307895819407,1.17078556423946e-10,1.07258259894353e-09,"Up"
"RAB15",1.10990820246107,-0.054432127929309,6.4423354306921,1.17653734941754e-10,1.07708696026521e-09,"Up"
"IVNS1ABP",1.10971276461739,-0.0514059552347373,6.44120103404374,1.18536607743061e-10,1.08439978955868e-09,"Up"
"AGBL2",1.10966209830879,-0.0459528177646374,6.44090694724066,1.1876654318692e-10,1.085733267589e-09,"Up"
"THADA",1.10887564994321,-0.0517325246285038,6.43634209750016,1.2239203344558e-10,1.11571366743076e-09,"Up"
"SNRPA1",1.10773388546156,-0.05054025711155,6.42971485593428,1.27848745452451e-10,1.16381155087591e-09,"Up"
"PAK1IP1",1.10766538277811,-0.0581668987389908,6.42931723992987,1.28183587908745e-10,1.16603674219669e-09,"Up"
"ZNF7",1.10748539946868,-0.0505937257336035,6.42827254736097,1.29067439625973e-10,1.17159810255836e-09,"Up"
"BARD1",1.10738416143909,-0.0495565083608801,6.42768492277771,1.29567208115014e-10,1.17530760722613e-09,"Up"
"CENPH",1.10717970087989,-0.0491348347176692,6.42649815480734,1.30582315657018e-10,1.18368326750518e-09,"Up"
"FANCM",1.10703360827144,-0.055153720742719,6.42565017694261,1.31312394491333e-10,1.1886840323277e-09,"Up"
"R3HDM1",1.10696441269193,-0.0554092616360508,6.42524853910215,1.3165958119682e-10,1.19093754407980e-09,"Up"
"EPS8L3",1.10693680179171,-0.0502985016820018,6.42508827478446,1.31798368324558e-10,1.19135750036333e-09,"Up"
"TERT",1.10683141521984,-0.0402656935146746,6.42447657046124,1.32329413139897e-10,1.19364832174233e-09,"Up"
"XPO4",1.1067215390728,-0.0561408439744641,6.42383880691148,1.32885307684992e-10,1.19782500616961e-09,"Up"
"MLEC",1.10657761332252,-0.0556588068747574,6.42300340632757,1.336169227266e-10,1.20357869151565e-09,"Up"
"ANKRD10",1.10469863643824,-0.0549085649818599,6.41209709954634,1.43537150937185e-10,1.28843821150922e-09,"Up"
"P4HA1",1.10459196142433,-0.0547640064279078,6.41147791660837,1.44121444142804e-10,1.29278338525593e-09,"Up"
"GPR84",1.10434205153631,-0.0492835818804241,6.41002734319836,1.45499396808124e-10,1.30333105515833e-09,"Up"
"IGFL2",1.10423139712902,-0.0515500756514618,6.40938506232587,1.46113627501365e-10,1.30792483077037e-09,"Up"
"STAT1",1.10380744148106,-0.0549080627957863,6.40692426017498,1.48490499542553e-10,1.32827944077627e-09,"Up"
"MMP10",1.10377515894271,-0.0555591593936809,6.40673687986718,1.48673029130817e-10,1.32899057710216e-09,"Up"
"LEF1",1.10372366655479,-0.0587634741372343,6.40643799818096,1.48964627543119e-10,1.33067502124563e-09,"Up"
"THBS2",1.10363814567646,-0.0597905097086732,6.40594160200757,1.49450162741992e-10,1.33339810333233e-09,"Up"
"HPDL",1.10363356512297,-0.0497943678213901,6.40591501470784,1.49476211909338e-10,1.33339810333233e-09,"Up"
"HNF4G",1.10314945206946,-0.0522802875166373,6.40310503576528,1.52254477074168e-10,1.35724291622647e-09,"Up"
"RAE1",1.10279961166956,-0.0580738351567301,6.40107442710918,1.5429351235709e-10,1.37446962423626e-09,"Up"
"NME1",1.10161100865329,-0.0597732529125743,6.39417531661723,1.61422579455115e-10,1.43105831779486e-09,"Up"
"ADAR",1.10102897735454,-0.0571887045187452,6.39079698240055,1.65029926862821e-10,1.46103021729824e-09,"Up"
"SERPINE1",1.10090120219854,-0.0533081662405286,6.39005532609706,1.65832340450379e-10,1.46712713269509e-09,"Up"
"ORC2",1.10014180034897,-0.0528650670367008,6.38564746477058,1.7068055057899e-10,1.50485879830375e-09,"Up"
"SUPT16H",1.0990570462975,-0.0572092891300744,6.37935113373713,1.77846886026978e-10,1.56376754114655e-09,"Up"
"MMP8",1.09854456590063,-0.045838111782527,6.37637649978908,1.81333992964947e-10,1.59009325306244e-09,"Up"
"ACTR5",1.09824564073771,-0.0551468659084976,6.3746414228125,1.83398744074188e-10,1.60601520693344e-09,"Up"
"SF3B3",1.09800650844773,-0.0594164266444883,6.37325340673972,1.850670120701e-10,1.61952468703679e-09,"Up"
"NAA40",1.09752873458838,-0.0530689265320653,6.3704802229258,1.88444646192188e-10,1.64684789378932e-09,"Up"
"TNFRSF12A",1.09559606040491,-0.0560432822686996,6.35926223630264,2.0273296979437e-10,1.76692741714701e-09,"Up"
"NAA15",1.09546931395793,-0.056061059759454,6.35852655102322,2.03706125570193e-10,1.77421020508435e-09,"Up"
"DHX33",1.09458949613582,-0.0518338584595332,6.35341974893328,2.10588258431855e-10,1.83291359346323e-09,"Up"
"WDR12",1.09273346389343,-0.0584296281914438,6.34264662170606,2.25859810385022e-10,1.96054218987645e-09,"Up"
"RAD21",1.0911630737186,-0.0575479354786508,6.33353147124508,2.39621608218441e-10,2.06886152905601e-09,"Up"
"STAMBPL1",1.09106994568029,-0.0530227673191142,6.33299092018019,2.40462951814991e-10,2.07473686652948e-09,"Up"
"ADAM17",1.091050922375,-0.0542435739496525,6.3328805015767,2.40635167989687e-10,2.07483491437097e-09,"Up"
"PSMD11",1.09051380440972,-0.0567651946022198,6.32976286167595,2.45547673873971e-10,2.11436545080131e-09,"Up"
"TYMS",1.08925077548766,-0.0611009454535802,6.32243175451185,2.57488573188756e-10,2.20834116061287e-09,"Up"
"HAPLN3",1.08918780502782,-0.0545129486307465,6.3220662496677,2.58098520460751e-10,2.21210153848720e-09,"Up"
"TMEM44",1.08870994389993,-0.0458328718431374,6.3192925593136,2.62773412464344e-10,2.24896082252796e-09,"Up"
"PUS7L",1.08685655825142,-0.053183547267236,6.30853479393834,2.81700064685331e-10,2.39686618362538e-09,"Up"
"BUB3",1.08677538280563,-0.0590265240360433,6.30806362033192,2.82558761757278e-10,2.40100491956991e-09,"Up"
"CEP170",1.0856109343716,-0.0577441671780031,6.30130471235455,2.95161605298207e-10,2.49822148736324e-09,"Up"
"SCML1",1.08494539350135,-0.0576355368966507,6.29744165636538,3.02609562907178e-10,2.55237199770549e-09,"Up"
"MICB",1.08351144071464,-0.0535838504646732,6.28911844114514,3.19285745533003e-10,2.67780678259441e-09,"Up"
"GART",1.08307130566642,-0.0580979726252429,6.28656372751284,3.24581927019358e-10,2.71692555264289e-09,"Up"
"MMP1",1.08271441805902,-0.057593473742886,6.28449221414549,3.28939274757659e-10,2.74983000978551e-09,"Up"
"SLC12A9",1.08226182706669,-0.049748891039718,6.28186520140784,3.34547303112934e-10,2.79309104391828e-09,"Up"
"GRM2",1.0821281165673,-0.0419540875851435,6.28108909408132,3.36221890848641e-10,2.80525625488785e-09,"Up"
"POC1A",1.0817595494539,-0.0535571548990973,6.27894978835497,3.40880302943926e-10,2.84118404357617e-09,"Up"
"ZNF81",1.08173531702358,-0.0504360601562718,6.2788091339801,3.41188780796921e-10,2.84118404357617e-09,"Up"
"MUC13",1.08121353970775,-0.0523728062378876,6.27578053712745,3.47897492046034e-10,2.89331382972392e-09,"Up"
"TUG1",1.0811500749759,-0.053987164478407,6.27541216333789,3.48722218325862e-10,2.89643779406651e-09,"Up"
"MMP3",1.08109668147665,-0.0586967927283235,6.27510224686798,3.49417546837793e-10,2.90034551908667e-09,"Up"
"RAD18",1.08106850019708,-0.0568746037760635,6.27493867184853,3.49785089286887e-10,2.90152917473412e-09,"Up"
"LPCAT1",1.08075687716218,-0.0532813687367017,6.27312989152386,3.53874548863789e-10,2.92979961860976e-09,"Up"
"KREMEN2",1.08046154693664,-0.0413325786132534,6.27141568095086,3.57793257966755e-10,2.9565504385094e-09,"Up"
"G3BP1",1.08025620965986,-0.0536817713890323,6.27022382417343,3.60542794433709e-10,2.97736331971857e-09,"Up"
"ACYP1",1.08019552187683,-0.0496373108331531,6.26987156886621,3.61359366514094e-10,2.98219735679162e-09,"Up"
"TMC5",1.08012850370211,-0.0474820185091163,6.26948256952325,3.62263213825805e-10,2.9877450096797e-09,"Up"
"F2RL2",1.07968259626182,-0.0566709270889023,6.26689435070028,3.68333435464742e-10,3.03392910859496e-09,"Up"
