"gene","module","MM","GS","GS_trait","hubScore"
"ENOX1","turquoise",0.799,-0.094,"status_Tumor",0.075
"SSBP2","turquoise",0.798,-0.373,"status_Tumor",0.297
"PPP1R14A","turquoise",0.798,-0.333,"status_Tumor",0.265
"AARD","turquoise",0.798,-0.321,"status_Tumor",0.256
"NPR1","turquoise",0.798,-0.318,"status_Tumor",0.254
"PPP1R12B","turquoise",0.798,-0.245,"status_Tumor",0.196
"PCDHB4","turquoise",0.798,-0.195,"status_Tumor",0.155
"CDH19","turquoise",0.797,-0.353,"status_Tumor",0.281
"TNXB","turquoise",0.797,-0.35,"status_Tumor",0.279
"TMTC1","turquoise",0.797,-0.249,"status_Tumor",0.199
"MIR145","turquoise",0.797,-0.204,"status_Tumor",0.163
"ARMCX2","turquoise",0.797,-0.198,"status_Tumor",0.158
"ZNF667","turquoise",0.797,-0.171,"status_Tumor",0.136
"NEXN","turquoise",0.796,-0.213,"status_Tumor",0.169
"POPDC2","turquoise",0.796,-0.155,"status_Tumor",0.123
"LAMA2","turquoise",0.795,-0.203,"status_Tumor",0.162
"ADGRD1","turquoise",0.795,-0.193,"status_Tumor",0.154
"BMPER","turquoise",0.794,-0.334,"status_Tumor",0.265
"PTGER3","turquoise",0.794,-0.263,"status_Tumor",0.209
"SMAD9","turquoise",0.794,-0.255,"status_Tumor",0.202
"CYP1B1-AS1","turquoise",0.794,-0.255,"status_Tumor",0.202
"TLL1","turquoise",0.794,-0.246,"status_Tumor",0.195
"PRKAR2B","turquoise",0.793,-0.351,"status_Tumor",0.279
"SHISAL1","turquoise",0.793,-0.229,"status_Tumor",0.181
"GFRA1","turquoise",0.792,-0.356,"status_Tumor",0.282
"TXLNB","turquoise",0.792,-0.331,"status_Tumor",0.262
"MCC","turquoise",0.792,-0.282,"status_Tumor",0.224
"KIRREL3","turquoise",0.791,-0.262,"status_Tumor",0.208
"MAPK4","turquoise",0.79,-0.309,"status_Tumor",0.244
"GLP2R","turquoise",0.79,-0.285,"status_Tumor",0.225
"PALM","turquoise",0.79,-0.252,"status_Tumor",0.199
"FMN2","turquoise",0.79,-0.189,"status_Tumor",0.149
